"cumulative_cell_count","rep_num","cell_line","treatment","figure"
568682.7632,6,"BCBL1","AAVS1","1B"
3562.079511,6,"BCBL1","PSMD1","1B"
371.3989637,6,"BCBL1","IRF4 M1","1B"
1937.136205,6,"BCBL1","CFLAR D1","1B"
4762.085308,6,"BCBL1","CFLAR D2","1B"
165390.8714,6,"BC1","AAVS1","1B"
4118.26087,6,"BC1","PSMD1","1B"
100.589391,6,"BC1","IRF4 M1","1B"
52852.48677,6,"BC1","CFLAR D1","1B"
32954.55455,6,"BC1","CFLAR D2","1B"
99138850.88,6,"BC2","AAVS1","1B"
12685494.92,6,"BC2","PSMD1","1B"
5695.550351,6,"BC2","IRF4 M1","1B"
25253145.39,6,"BC2","CFLAR D1","1B"
39634832.52,6,"BC2","CFLAR D2","1B"
2506918.494,6,"BC3","AAVS1","1B"
55513.25163,6,"BC3","PSMD1","1B"
3420.935412,6,"BC3","IRF4 M1","1B"
3004651.222,6,"BC3","CFLAR D1","1B"
6600327.259,6,"BC3","CFLAR D2","1B"
5788252.109,6,"BC5","AAVS1","1B"
970672.6582,6,"BC5","PSMD1","1B"
448870.3694,6,"BC5","IRF4 M1","1B"
985426.3646,6,"BC5","CFLAR D1","1B"
2260387.947,6,"BC5","CFLAR D2","1B"
184163.6714,5,"BCBL1","AAVS1","1B"
1965.199591,5,"BCBL1","PSMD1","1B"
124.2718447,5,"BCBL1","IRF4 M1","1B"
465.1292802,5,"BCBL1","CFLAR D1","1B"
969.0295939,5,"BCBL1","CFLAR D2","1B"
25268.10717,5,"BC1","AAVS1","1B"
532.0293399,5,"BC1","PSMD1","1B"
104.5751634,5,"BC1","IRF4 M1","1B"
1166.809505,5,"BC1","CFLAR D1","1B"
9779.310345,5,"BC1","CFLAR D2","1B"
19265985.11,5,"BC2","AAVS1","1B"
6670177.252,5,"BC2","PSMD1","1B"
323.6409608,5,"BC2","IRF4 M1","1B"
6066324.172,5,"BC2","CFLAR D1","1B"
1954677.287,5,"BC2","CFLAR D2","1B"
4241090.975,5,"BC3","AAVS1","1B"
13149.72678,5,"BC3","PSMD1","1B"
1084.994273,5,"BC3","IRF4 M1","1B"
2137177.893,5,"BC3","CFLAR D1","1B"
4214871.955,5,"BC3","CFLAR D2","1B"
638343.3961,5,"BC5","AAVS1","1B"
168961.7913,5,"BC5","PSMD1","1B"
203429.1571,5,"BC5","IRF4 M1","1B"
94690.22531,5,"BC5","CFLAR D1","1B"
721824.0597,5,"BC5","CFLAR D2","1B"
927931.8498,4,"BCBL1","AAVS1","1B"
6362.833914,4,"BCBL1","PSMD1","1B"
512.9326047,4,"BCBL1","IRF4 M1","1B"
1878.14992,4,"BCBL1","CFLAR D1","1B"
9368.297456,4,"BCBL1","CFLAR D2","1B"
969991.7753,4,"BC1","AAVS1","1B"
7703.063063,4,"BC1","PSMD1","1B"
0,4,"BC1","IRF4 M1","1B"
5424.021592,4,"BC1","CFLAR D1","1B"
41262.44726,4,"BC1","CFLAR D2","1B"
12486738.34,4,"BC2","AAVS1","1B"
2425674.736,4,"BC2","PSMD1","1B"
2027.255985,4,"BC2","IRF4 M1","1B"
3832600.218,4,"BC2","CFLAR D1","1B"
4846822.805,4,"BC2","CFLAR D2","1B"
2309226.604,4,"BC3","AAVS1","1B"
49155.57115,4,"BC3","PSMD1","1B"
3068.164794,4,"BC3","IRF4 M1","1B"
2014136.622,4,"BC3","CFLAR D1","1B"
2759707.523,4,"BC3","CFLAR D2","1B"
2650171.522,4,"BC5","AAVS1","1B"
312145.9315,4,"BC5","PSMD1","1B"
20355.72639,4,"BC5","IRF4 M1","1B"
177796.4974,4,"BC5","CFLAR D1","1B"
279078.1417,4,"BC5","CFLAR D2","1B"
99608339.55,1,"BC1","AAVS1","1B"
4023289.782,1,"BC1","PSMD1","1B"
13467670.03,1,"BC1","CFLAR D1","1B"
80866301.05,1,"BC2","AAVS1","1B"
1415236.741,1,"BC2","PSMD1","1B"
575051.4959,1,"BC2","CFLAR D1","1B"
50177012.73,1,"BC3","AAVS1","1B"
189087.3922,1,"BC3","PSMD1","1B"
31463116,1,"BC3","CFLAR D1","1B"
710736.9981,1,"BC5","AAVS1","1B"
338545.1344,1,"BC5","PSMD1","1B"
225920.1786,1,"BC5","CFLAR D1","1B"
779552.7,3,"BCBL1","AAVS1","1B"
20762.2,3,"BCBL1","PSMD1","1B"
4123.1,3,"BCBL1","CFLAR D1","1B"
3285.9,3,"BCBL1","CFLAR D2","1B"
3853709.1,3,"BC2","AAVS1","1B"
765262.9,3,"BC2","PSMD1","1B"
846.1,3,"BC2","CFLAR D1","1B"
1380117.1,3,"BC2","CFLAR D2","1B"
8859273.1,3,"BC3","AAVS1","1B"
1430252.1,3,"BC3","PSMD1","1B"
6538474.7,3,"BC3","CFLAR D1","1B"
13084844.7,3,"BC3","CFLAR D2","1B"
3702589.4,3,"BC5","AAVS1","1B"
3293798.8,3,"BC5","PSMD1","1B"
88086.8,3,"BC5","CFLAR D1","1B"
89498.5,3,"BC5","CFLAR D2","1B"
3987448.9,2,"BCBL1","AAVS1","1B"
135201.5,2,"BCBL1","PSMD1","1B"
111274.6,2,"BCBL1","CFLAR D1","1B"
11115.6,2,"BCBL1","CFLAR D2","1B"
27639261.7,2,"BC2","AAVS1","1B"
15765732.7,2,"BC2","PSMD1","1B"
16246038.7,2,"BC2","CFLAR D1","1B"
14820261,2,"BC2","CFLAR D2","1B"
11180872.8,2,"BC3","AAVS1","1B"
3656669.3,2,"BC3","PSMD1","1B"
11608738.2,2,"BC3","CFLAR D1","1B"
6349159.5,2,"BC3","CFLAR D2","1B"
1179877.3,1,"ZSGreen","AAVS1","1C"
18818.5,1,"ZSGreen","PSMD1","1C"
19031.3,1,"ZSGreen","CFLAR D1","1C"
357293.4,1,"ZSGreen","CFLAR D2","1C"
2846717.9,1,"CFLIP-L","AAVS1","1C"
64064,1,"CFLIP-L","PSMD1","1C"
2762226.5,1,"CFLIP-L","CFLAR D1","1C"
1301380.9,1,"CFLIP-L","CFLAR D2","1C"
2031359.4,1,"CFLIP-S","AAVS1","1C"
40028.7,1,"CFLIP-S","PSMD1","1C"
2024111.7,1,"CFLIP-S","CFLAR D1","1C"
1686289.9,1,"CFLIP-S","CFLAR D2","1C"
346363.7,2,"ZSGreen","AAVS1","1C"
3446.7,2,"ZSGreen","PSMD1","1C"
2532.6,2,"ZSGreen","CFLAR D1","1C"
5353,2,"ZSGreen","CFLAR D2","1C"
1021867.6,2,"CFLIP-L","AAVS1","1C"
6408.6,2,"CFLIP-L","PSMD1","1C"
583404.7,2,"CFLIP-L","CFLAR D1","1C"
1083431.1,2,"CFLIP-L","CFLAR D2","1C"
1283258.5,2,"CFLIP-S","AAVS1","1C"
9634.4,2,"CFLIP-S","PSMD1","1C"
1138573.1,2,"CFLIP-S","CFLAR D1","1C"
1994232.3,2,"CFLIP-S","CFLAR D2","1C"
578454.6,3,"ZSGreen","AAVS1","1C"
13084.4,3,"ZSGreen","PSMD1","1C"
11848.2,3,"ZSGreen","CFLAR D1","1C"
20042.3,3,"ZSGreen","CFLAR D2","1C"
1666786.6,3,"CFLIP-L","AAVS1","1C"
15988.3,3,"CFLIP-L","PSMD1","1C"
1514694.4,3,"CFLIP-L","CFLAR D1","1C"
2306836.5,3,"CFLIP-L","CFLAR D2","1C"
1525082.3,3,"CFLIP-S","AAVS1","1C"
22150,3,"CFLIP-S","PSMD1","1C"
1745940.9,3,"CFLIP-S","CFLAR D1","1C"
2908617.2,3,"CFLIP-S","CFLAR D2","1C"
3928558.454,1,"ZSGreen","AAVS1","2B"
120215.1841,1,"ZSGreen","PSMD1","2B"
69383.98737,1,"ZSGreen","CFLAR D1","2B"
9072427.268,1,"VFLIP","AAVS1","2B"
503187.176,1,"VFLIP","PSMD1","2B"
3736291.305,1,"VFLIP","CFLAR D1","2B"
9412564.978,1,"MC159L","AAVS1","2B"
233394.2961,1,"MC159L","PSMD1","2B"
12719288.75,1,"MC159L","CFLAR D1","2B"
2891469.435,4,"ZSGreen","AAVS1","2B"
42469.89917,4,"ZSGreen","PSMD1","2B"
24849.91982,4,"ZSGreen","CFLAR D1","2B"
3044619.098,4,"MC160L","AAVS1","2B"
63428.44798,4,"MC160L","PSMD1","2B"
38810.37491,4,"MC160L","CFLAR D1","2B"
2083909.598,2,"ZSGreen","AAVS1","2B"
90181.93134,2,"ZSGreen","PSMD1","2B"
27149.3043,2,"ZSGreen","CFLAR D1","2B"
3437126.256,2,"VFLIP","AAVS1","2B"
92083.31587,2,"VFLIP","PSMD1","2B"
1347886.407,2,"VFLIP","CFLAR D1","2B"
6451346.718,2,"MC159L","AAVS1","2B"
182206.8183,2,"MC159L","PSMD1","2B"
7044638.143,2,"MC159L","CFLAR D1","2B"
1680495.409,2,"MC160L","AAVS1","2B"
62315.97256,2,"MC160L","PSMD1","2B"
40130.79512,2,"MC160L","CFLAR D1","2B"
4533511.068,3,"ZSGreen","AAVS1","2B"
165473.0996,3,"ZSGreen","PSMD1","2B"
195413.9407,3,"ZSGreen","CFLAR D1","2B"
6860664.888,3,"VFLIP","AAVS1","2B"
298906.0474,3,"VFLIP","PSMD1","2B"
3554704.03,3,"VFLIP","CFLAR D1","2B"
8202247.668,3,"MC159L","AAVS1","2B"
326628.9928,3,"MC159L","PSMD1","2B"
10128132.69,3,"MC159L","CFLAR D1","2B"
3481176.279,3,"MC160L","AAVS1","2B"
162095.0747,3,"MC160L","PSMD1","2B"
209477.9062,3,"MC160L","CFLAR D1","2B"
2121809.432,4,"ZSGreen","AAVS1","2B"
247790.4769,4,"ZSGreen","PSMD1","2B"
87403.01925,4,"ZSGreen","CFLAR D1","2B"
5098022.456,4,"VFLIP","AAVS1","2B"
1779341.103,4,"VFLIP","PSMD1","2B"
3161619.263,4,"VFLIP","CFLAR D1","2B"
2849236.911,5,"ZSGreen","AAVS1","2B"
251073.1601,5,"ZSGreen","PSMD1","2B"
158024.4649,5,"ZSGreen","CFLAR D1","2B"
4373327.463,5,"VFLIP","AAVS1","2B"
854887.5494,5,"VFLIP","PSMD1","2B"
1561374.365,5,"VFLIP","CFLAR D1","2B"
6036114.926,6,"ZSGreen","AAVS1","2B"
334482.65,6,"ZSGreen","PSMD1","2B"
141160.6802,6,"ZSGreen","CFLAR D1","2B"
8773445.484,6,"VFLIP","AAVS1","2B"
1514198.186,6,"VFLIP","PSMD1","2B"
3085016.95,6,"VFLIP","CFLAR D1","2B"
9598368.981,1,"AAVS1","AAVS1","4B"
233980.031,1,"AAVS1","PSMD1","4B"
144792.598,1,"AAVS1","CFLAR D1","4B"
10848906.67,1,"CASP8 D1","AAVS1","4B"
432660.1156,1,"CASP8 D1","PSMD1","4B"
8927275.76,1,"CASP8 D1","CFLAR D1","4B"
10397227.12,1,"CASP8 D2","AAVS1","4B"
575865.6169,1,"CASP8 D2","PSMD1","4B"
14103651.14,1,"CASP8 D2","CFLAR D1","4B"
2984577.238,2,"AAVS1","AAVS1","4B"
162578.6881,2,"AAVS1","PSMD1","4B"
40491.10224,2,"AAVS1","CFLAR D1","4B"
7344270.763,2,"CASP8 D1","AAVS1","4B"
846783.978,2,"CASP8 D1","PSMD1","4B"
8268201.012,2,"CASP8 D1","CFLAR D1","4B"
8837079.149,2,"CASP8 D2","AAVS1","4B"
1267715.373,2,"CASP8 D2","PSMD1","4B"
9407232.791,2,"CASP8 D2","CFLAR D1","4B"
3710747.462,3,"AAVS1","AAVS1","4B"
506181.8618,3,"AAVS1","PSMD1","4B"
105363.355,3,"AAVS1","CFLAR D1","4B"
8684642.08,3,"CASP8 D1","AAVS1","4B"
2367842.26,3,"CASP8 D1","PSMD1","4B"
9419017.836,3,"CASP8 D1","CFLAR D1","4B"
9476480.46,3,"CASP8 D2","AAVS1","4B"
2008508.078,3,"CASP8 D2","PSMD1","4B"
11607494.75,3,"CASP8 D2","CFLAR D1","4B"
11486667.71,1,"AAVS1","AAVS1","5B"
217237.0298,1,"AAVS1","PSMD1","5B"
632313.8851,1,"AAVS1","CFLAR D1","5B"
12428221.38,1,"TRAIL-R1 D1","AAVS1","5B"
495182.7737,1,"TRAIL-R1 D1","PSMD1","5B"
18385808.25,1,"TRAIL-R1 D1","CFLAR D1","5B"
12504773.95,1,"TRAIL-R1 D2","AAVS1","5B"
295977.4823,1,"TRAIL-R1 D2","PSMD1","5B"
12367563.97,1,"TRAIL-R1 D2","CFLAR D1","5B"
10691080.05,1,"TRAIL-R2 D1","AAVS1","5B"
254916.81,1,"TRAIL-R2 D1","PSMD1","5B"
1071563.548,1,"TRAIL-R2 D1","CFLAR D1","5B"
8175909.121,1,"TRAIL D1","AAVS1","5B"
209613.7087,1,"TRAIL D1","PSMD1","5B"
783190.9329,1,"TRAIL D1","CFLAR D1","5B"
4440054.909,2,"AAVS1","AAVS1","5B"
118533.6993,2,"AAVS1","PSMD1","5B"
150836.5681,2,"AAVS1","CFLAR D1","5B"
8247797.658,2,"TRAIL-R1 D1","AAVS1","5B"
