"cumulative_cell_count","rep_num","cell_line","treatment","day"
200000,1,"ZSGreen","AAVS1",0
200000,1,"ZSGreen","PSMD1",0
200000,1,"ZSGreen","CFLAR D1",0
200000,2,"ZSGreen","AAVS1",0
200000,2,"ZSGreen","PSMD1",0
200000,2,"ZSGreen","CFLAR D1",0
200000,3,"ZSGreen","AAVS1",0
200000,3,"ZSGreen","PSMD1",0
200000,3,"ZSGreen","CFLAR D1",0
200000,4,"ZSGreen","AAVS1",0
200000,4,"ZSGreen","PSMD1",0
200000,4,"ZSGreen","CFLAR D1",0
200000,5,"ZSGreen","AAVS1",0
200000,5,"ZSGreen","PSMD1",0
200000,5,"ZSGreen","CFLAR D1",0
200000,6,"ZSGreen","AAVS1",0
200000,6,"ZSGreen","PSMD1",0
200000,6,"ZSGreen","CFLAR D1",0
200000,1,"VFLIP","AAVS1",0
200000,1,"VFLIP","PSMD1",0
200000,1,"VFLIP","CFLAR D1",0
200000,2,"VFLIP","AAVS1",0
200000,2,"VFLIP","PSMD1",0
200000,2,"VFLIP","CFLAR D1",0
200000,3,"VFLIP","AAVS1",0
200000,3,"VFLIP","PSMD1",0
200000,3,"VFLIP","CFLAR D1",0
200000,4,"VFLIP","AAVS1",0
200000,4,"VFLIP","PSMD1",0
200000,4,"VFLIP","CFLAR D1",0
200000,5,"VFLIP","AAVS1",0
200000,5,"VFLIP","PSMD1",0
200000,5,"VFLIP","CFLAR D1",0
200000,6,"VFLIP","AAVS1",0
200000,6,"VFLIP","PSMD1",0
200000,6,"VFLIP","CFLAR D1",0
912959.19395466,1,"ZSGreen","AAVS1",2
958437.402597403,1,"ZSGreen","PSMD1",2
458157.419354839,1,"ZSGreen","CFLAR D1",2
2394996.28547439,1,"ZSGreen","AAVS1",4
455837.764833621,1,"ZSGreen","PSMD1",4
171970.006486487,1,"ZSGreen","CFLAR D1",4
3928558.45354604,1,"ZSGreen","AAVS1",6
120215.184129989,1,"ZSGreen","PSMD1",6
69383.9873653789,1,"ZSGreen","CFLAR D1",6
2565780.64516129,2,"ZSGreen","AAVS1",2
637410.766721044,2,"ZSGreen","PSMD1",2
1841639.02439024,2,"ZSGreen","CFLAR D1",2
1470164.82343856,2,"ZSGreen","AAVS1",4
460626.306272015,2,"ZSGreen","PSMD1",4
111363.453033591,2,"ZSGreen","CFLAR D1",4
2083909.59819955,2,"ZSGreen","AAVS1",6
90181.9313408689,2,"ZSGreen","PSMD1",6
27149.3042995265,2,"ZSGreen","CFLAR D1",6
