id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
HMGCS1	4	3.0951e-09	2.5901e-07	0.001238	1	4	-5.0546	1.0	1.0	1.0	19113	0	-5.0546
ALDOA	4	6.2375e-09	2.5901e-07	0.001238	2	4	-4.4272	1.0	1.0	1.0	19112	0	-4.4272
SMG7	4	5.4436e-08	2.5901e-07	0.001238	3	4	-4.0473	1.0	1.0	1.0	19111	0	-4.0473
CLPX	4	1.5267e-07	2.5901e-07	0.001238	4	4	-4.6834	1.0	1.0	1.0	19110	0	-4.6834
MRPS21	4	2.2752e-07	7.7704e-07	0.002475	5	4	-5.4012	0.99827	0.99829	1.0	18547	0	-5.4012
TUT1	4	2.7046e-07	7.7704e-07	0.002475	6	4	-5.1757	1.0	1.0	1.0	19109	0	-5.1757
DDX23	4	5.3234e-07	1.8131e-06	0.002888	7	4	-4.0069	1.0	1.0	1.0	19108	0	-4.0069
COA6	4	5.6318e-07	1.8131e-06	0.002888	8	4	-5.1816	1.0	1.0	1.0	19107	0	-5.1816
RPS18	4	6.1677e-07	1.8131e-06	0.002888	9	4	-4.4508	1.0	1.0	1.0	19106	0	-4.4508
GINS2	4	6.2828e-07	1.8131e-06	0.002888	10	4	-5.3128	1.0	1.0	1.0	19105	0	-5.3128
BTF3	4	6.6862e-07	1.8131e-06	0.002888	11	4	-5.2573	1.0	1.0	1.0	19104	0	-5.2573
ATP6V0C	4	7.077e-07	1.8131e-06	0.002888	12	4	-4.817	1.0	1.0	1.0	19103	0	-4.817
NDUFS1	4	8.1818e-07	2.3311e-06	0.003427	13	4	-5.2776	1.0	1.0	1.0	19102	0	-5.2776
EFTUD2	4	1.0229e-06	3.3672e-06	0.003919	14	4	-5.0259	1.0	1.0	1.0	19101	0	-5.0259
RPS19	4	1.256e-06	3.8852e-06	0.003919	15	4	-4.9841	1.0	1.0	1.0	19100	0	-4.9841
PWP2	4	1.3833e-06	3.8852e-06	0.003919	16	4	-4.6908	1.0	1.0	1.0	19099	0	-4.6908
DDX20	4	1.4505e-06	3.8852e-06	0.003919	17	4	-4.5373	1.0	1.0	1.0	19098	0	-4.5373
RPS20	4	1.6191e-06	4.4032e-06	0.003919	18	4	-4.8115	1.0	1.0	1.0	19097	0	-4.8115
ANAPC11	4	1.7081e-06	4.4032e-06	0.003919	19	4	-4.0876	1.0	1.0	1.0	19096	0	-4.0876
SEPHS2	4	1.8785e-06	4.4032e-06	0.003919	20	4	-3.9178	1.0	1.0	1.0	19095	0	-3.9178
RPL7	4	1.98e-06	4.4032e-06	0.003919	21	4	-5.3256	0.99982	0.99982	1.0	18894	0	-5.3256
ATP5E	4	2.2272e-06	4.9212e-06	0.003919	22	4	-4.5344	1.0	1.0	1.0	19094	0	-4.5344
SAE1	4	2.3839e-06	4.9212e-06	0.003919	23	4	-4.1292	1.0	1.0	1.0	19093	0	-4.1292
PSMA7	4	2.4523e-06	4.9212e-06	0.003919	24	4	-5.4473	1.0	1.0	1.0	19092	0	-5.4473
