id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CHRNA4	4	1.8272e-05	7.4449e-05	0.365099	1	4	-1.6147	0.99998	0.99998	1.0	19083	0	-1.6147
NCAPD2	3	2.0016e-05	6.3036e-05	0.365099	2	1	-0.61478	0.062746	0.11131	0.891496	2548	2	-0.61478
NDUFA11	3	2.3964e-05	7.6525e-05	0.365099	3	2	-2.6341	0.69197	0.69194	1.0	12919	0	-2.6341
MED4	4	3.4889e-05	0.00013411	0.494224	4	2	-1.5736	0.4387	0.47078	1.0	8692	1	-1.5736
CREG2	4	4.0158e-05	0.00015538	0.494224	5	3	-2.1641	0.53079	0.54109	1.0	9830	1	-2.1641
HIST1H2AI	2	4.3455e-05	7.1855e-05	0.365099	6	2	-2.7821	0.99996	0.99996	1.0	19082	0	-2.7821
C3AR1	4	5.3047e-05	0.00020882	0.51052	7	4	-2.1561	0.99958	0.99958	1.0	19072	0	-2.1561
SH2B1	4	5.4658e-05	0.00021401	0.51052	8	4	-2.3078	0.99953	0.99953	1.0	19070	0	-2.3078
PTPRG	4	8.0063e-05	0.00032192	0.614356	9	2	-0.11166	0.26325	0.35788	1.0	6489	1	-0.11166
C5orf51	4	0.00013344	0.00052841	0.617101	10	3	-1.5287	0.55531	0.56149	1.0	10270	1	-1.5287
ZNF365	4	0.00013676	0.00054345	0.617101	11	4	-1.3517	0.99986	0.99987	1.0	19081	0	-1.3517
AFF3	4	0.00014335	0.00057043	0.617101	12	2	-1.5108	0.78597	0.78587	1.0	14765	0	-1.5108
TOPBP1	2	0.0001452	0.00029131	0.614356	13	2	-2.9652	0.99985	0.99985	1.0	19080	0	-2.9652
RIOK1	3	0.00015076	0.00046408	0.617101	14	3	-2.2036	0.99541	0.99555	1.0	18977	0	-2.2036
PRR23D2	4	0.00015144	0.00059793	0.617101	15	3	-1.9517	0.32691	0.39615	1.0	7274	1	-1.9517
REV1	4	0.00018681	0.00070636	0.617101	16	3	-1.0965	0.45741	0.48438	1.0	8836	1	-1.0965
NUP133	3	0.00020652	0.00061038	0.617101	17	2	-2.5042	0.76829	0.76854	1.0	14437	0	-2.5042
OR2A25	4	0.0002073	0.00078315	0.617101	18	4	-1.2711	0.99979	0.99979	1.0	19079	0	-1.2711
GEMIN6	3	0.00021385	0.0006358	0.617101	19	2	-2.5502	0.35152	0.37169	1.0	7591	1	-2.5502
CHRNA3	4	0.00022617	0.00084852	0.617101	20	4	-1.6564	0.99977	0.99978	1.0	19078	0	-1.6564
MRPL13	4	0.00024017	0.00089625	0.617101	21	1	0.64858	0.14102	0.22908	1.0	4236	2	0.64858
ELL	4	0.00024406	0.00090922	0.617101	22	2	0.19905	0.0046291	0.014302	0.505455	521	2	0.19905
NOP16	3	0.00026019	0.00076654	0.617101	23	2	-1.8231	0.66084	0.66088	1.0	12332	0	-1.8231
AGPAT2	4	0.00026643	0.00099171	0.617101	24	4	-1.8004	0.99722	0.99722	1.0	19014	0	-1.8004
TMEM261	3	0.00029296	0.0008646	0.617101	25	2	-2.2036	0.0074276	0.02016	0.570827	671	1	-2.2036
POMP	4	0.00029354	0.0010872	0.617101	26	1	1.2657	0.019003	0.048707	0.722615	1221	3	1.2657
HIST1H2BL	4	0.00030681	0.0011313	0.617101	27	4	-1.7252	0.99969	0.99969	1.0	19077	0	-1.7252
C5orf34	4	0.00031913	0.001179	0.617101	28	4	-1.8457	0.99816	0.99815	1.0	19038	0	-1.8457
SPTLC2	3	0.00032069	0.00094813	0.617101	29	2	-2.8797	0.1889	0.25106	1.0	5329	1	-2.8797
LRFN3	4	0.00032278	0.0011899	0.617101	30	3	-1.9203	0.91218	0.91219	1.0	17241	0	-1.9203
MCRS1	3	0.00034024	0.0010109	0.617101	31	2	-1.6575	0.40017	0.41173	1.0	8252	1	-1.6575
DCLK3	4	0.0003607	0.0013191	0.617101	32	3	-1.7432	0.53741	0.54653	1.0	9937	1	-1.7432
RSU1	4	0.00037023	0.0013653	0.617101	33	4	-1.1599	0.99963	0.99963	1.0	19076	0	-1.1599
POC1A	4	0.00037979	0.0013974	0.617101	34	4	-1.6548	0.99962	0.99962	1.0	19075	0	-1.6548
PFDN2	3	0.00038026	0.0011235	0.617101	35	1	-0.2976	0.00026019	0.00076654	0.218339	69	1	-0.2976
PIK3R4	4	0.00038433	0.0014099	0.617101	36	2	-1.2099	0.12848	0.21248	1.0	3928	1	-1.2099
CAPG	4	0.00039789	0.001456	0.617101	37	4	-1.3961	0.9996	0.9996	1.0	19074	0	-1.3961
PLA2G6	4	0.00040027	0.0014643	0.617101	38	3	-0.7144	0.64988	0.64975	1.0	12072	0	-0.7144
CLDN14	4	0.00040683	0.0014924	0.617101	39	2	-1.453	0.92892	0.92907	1.0	17594	0	-1.453
MOCS3	1	0.000407	0.0004122	0.617101	40	1	-3.8658	0.99959	0.99961	1.0	19073	0	-3.8658
RAPGEF3	4	0.00040944	0.0014996	0.617101	41	3	-1.8855	0.52476	0.53626	1.0	9724	1	-1.8855
MTOR	3	0.00043209	0.0012771	0.617101	42	2	-3.2614	0.53031	0.53055	1.0	9822	1	-3.2614
ZNF717	4	0.00045811	0.0016828	0.617101	43	4	-1.2893	0.99954	0.99955	1.0	19071	0	-1.2893
ZNF626	3	0.00047955	0.0014125	0.617101	44	2	-2.2866	0.96558	0.96576	1.0	18342	0	-2.2866
FBXO11	4	0.00048097	0.0017653	0.617101	45	3	-1.441	0.53253	0.54249	1.0	9851	1	-1.441
COPS3	3	0.00050032	0.0014592	0.617101	46	3	-1.499	0.99547	0.9956	1.0	18981	0	-1.499
TMEM14A	4	0.0005019	0.0018415	0.617101	47	3	-1.6898	0.8948	0.89478	1.0	16849	0	-1.6898
MAPK3	3	0.00050342	0.001469	0.617101	48	2	-2.2622	0.95234	0.95262	1.0	18065	0	-2.2622
TFEC	4	0.0005225	0.0019136	0.617101	49	3	-1.6629	0.58051	0.58358	1.0	10712	1	-1.6629
TMEM8A	4	0.00052513	0.0019225	0.617101	50	3	-1.7573	0.58447	0.58723	1.0	10790	1	-1.7573
PPP1CA	4	0.00053808	0.0019666	0.617101	51	4	-1.2539	0.99946	0.99947	1.0	19069	0	-1.2539
GPR161	4	0.00056034	0.0020506	0.617101	52	1	0.59399	0.74694	0.74663	1.0	14007	0	0.59399
VCPIP1	4	0.00056418	0.0020714	0.617101	53	4	-1.2644	0.99944	0.99945	1.0	19068	0	-1.2644
FST	4	0.00057372	0.0021103	0.617101	54	4	-1.5132	0.99943	0.99944	1.0	19067	0	-1.5132
ATAD5	4	0.00057661	0.0021212	0.617101	55	2	-0.7543	0.089981	0.16158	0.937614	3157	2	-0.7543
FBXL19	4	0.00058546	0.002144	0.617101	56	3	-1.7157	0.78449	0.78438	1.0	14735	0	-1.7157
STEAP4	4	0.00059853	0.0021896	0.617101	57	3	-1.5898	0.29916	0.37912	1.0	6953	1	-1.5898
CNKSR2	4	0.00060514	0.0022109	0.617101	58	4	-1.7432	0.9901	0.99008	1.0	18860	0	-1.7432
NOM1	3	0.00062038	0.0018047	0.617101	59	1	-0.18204	0.50514	0.50602	1.0	9407	1	-0.18204
ACAT2	4	0.0006232	0.0022784	0.617101	60	2	-1.2314	0.28866	0.37279	1.0	6823	1	-1.2314
ZNF207	4	0.0006232	0.0022784	0.617101	61	2	-0.71909	0.67045	0.67034	1.0	12508	0	-0.71909
SPDEF	4	0.00062887	0.0022955	0.617101	62	3	-1.7362	0.98925	0.98924	1.0	18844	0	-1.7362
UNC119	4	0.00065746	0.0023956	0.617101	63	2	-1.0283	0.84332	0.84321	1.0	15861	0	-1.0283
OXA1L	4	0.00066704	0.0024299	0.617101	64	2	-0.90419	0.52362	0.53535	1.0	9704	1	-0.90419
TMEM178A	4	0.00066704	0.0024299	0.617101	65	1	1.0411	0.030972	0.075795	0.8289	1687	3	1.0411
COL4A2	4	0.00066991	0.0024423	0.617101	66	2	-1.2937	0.957	0.95701	1.0	18163	0	-1.2937
TCF4	3	0.00069021	0.0019982	0.617101	67	3	-2.2568	0.99784	0.9979	1.0	19030	0	-2.2568
SLC25A2	4	0.00069447	0.0025321	0.617101	68	4	-1.6887	0.99455	0.99457	1.0	18960	0	-1.6887
BUD31	3	0.00069563	0.0020049	0.617101	69	2	-2.0552	0.0014605	0.0041139	0.374941	227	1	-2.0552
SERINC2	4	0.00070002	0.0025513	0.617101	70	4	-1.0973	0.9993	0.99931	1.0	19066	0	-1.0973
TXNRD2	4	0.00070796	0.0025845	0.617101	71	2	-1.1359	0.35252	0.4124	1.0	7643	1	-1.1359
GARS	4	0.00071311	0.0026073	0.617101	72	3	-1.6196	0.4387	0.47078	1.0	8666	1	-1.6196
GART	3	0.00076043	0.0021907	0.617101	73	1	0.96319	0.04936	0.09066	0.862924	2222	2	0.96319
MDN1	2	0.00076047	0.0014742	0.617101	74	1	-0.59871	0.094786	0.12599	0.914153	3267	1	-0.59871
ZNF624	4	0.00077374	0.0028133	0.643152	75	3	-1.4255	0.86445	0.86435	1.0	16272	0	-1.4255
CWC27	4	0.00077759	0.0028252	0.643152	76	4	-1.6195	0.99922	0.99922	1.0	19065	0	-1.6195
AMZ1	4	0.00077905	0.0028309	0.643152	77	3	-1.4933	0.37778	0.42894	1.0	7942	1	-1.4933
ST8SIA2	4	0.0007983	0.0028973	0.648112	78	4	-1.4646	0.9992	0.99921	1.0	19064	0	-1.4646
DRD1	4	0.00080568	0.0029206	0.648112	79	4	-1.4387	0.99919	0.99919	1.0	19063	0	-1.4387
SPDYE2	3	0.00080907	0.0023204	0.617101	80	2	-2.0176	0.60874	0.60908	1.0	11206	0	-2.0176
CLDN9	4	0.00083294	0.003013	0.659021	81	3	-1.6369	0.76128	0.76105	1.0	14288	0	-1.6369
GNGT2	4	0.00084212	0.0030488	0.659021	82	3	-1.5803	0.91411	0.91413	1.0	17279	0	-1.5803
PRDM1	4	0.0008489	0.0030778	0.659021	83	4	-1.2941	0.99915	0.99915	1.0	19062	0	-1.2941
CAMTA1	3	0.0008564	0.0024475	0.617101	84	3	-2.0056	0.99914	0.99916	1.0	19061	0	-2.0056
HTR5A	4	0.00085725	0.0031079	0.659021	85	2	-0.87326	0.13829	0.22552	1.0	4177	2	-0.87326
PRKRIR	4	0.00086847	0.00315	0.660592	86	3	-1.4763	0.20614	0.31406	1.0	5684	1	-1.4763
DLC1	4	0.00088043	0.0032018	0.664173	87	1	-0.49371	0.96687	0.96691	1.0	18363	0	-0.49371
CWC22	4	0.00093377	0.0033782	0.693229	88	2	-0.37842	0.081497	0.15028	0.932278	3003	2	-0.37842
LIN52	4	0.00094867	0.0034306	0.694856	89	4	-1.784	0.99509	0.9951	1.0	18967	0	-1.784
GAGE2D	4	0.0009689	0.0035038	0.694856	90	2	-1.0946	0.31119	0.38655	1.0	7104	1	-1.0946
MAK16	2	0.00097389	0.0018711	0.617101	91	1	-2.3799	0.55498	0.55509	1.0	10262	0	-2.3799
UBE3A	4	0.00097539	0.0035245	0.694856	92	4	-1.0884	0.99902	0.99902	1.0	19060	0	-1.0884
NCR3LG1	4	0.0009776	0.0035318	0.694856	93	4	-1.2533	0.99902	0.99902	1.0	19059	0	-1.2533
LEMD1	4	0.00099103	0.0035816	0.697464	94	2	-0.27488	0.024875	0.062112	0.787079	1457	2	-0.27488
RERE	4	0.0010138	0.0036605	0.69949	95	3	-0.74951	0.86248	0.8624	1.0	16231	0	-0.74951
ENTPD2	4	0.0010248	0.003702	0.69949	96	4	-1.254	0.99898	0.99897	1.0	19058	0	-1.254
TCOF1	4	0.0010346	0.0037424	0.700204	97	4	-1.1407	0.99897	0.99895	1.0	19057	0	-1.1407
SPIB	4	0.001056	0.0038286	0.700266	98	4	-1.1295	0.99894	0.99894	1.0	19056	0	-1.1295
SRBD1	4	0.0010579	0.0038343	0.700266	99	4	-1.6141	0.99705	0.99707	1.0	19010	0	-1.6141
ATP10A	4	0.0010685	0.0038727	0.700266	100	4	-1.7641	0.99104	0.99105	1.0	18884	0	-1.7641
SPATA20	4	0.0010882	0.0039448	0.700266	101	4	-1.5854	0.99389	0.99393	1.0	18945	0	-1.5854
ZNF589	4	0.0010938	0.0039629	0.700266	102	3	-1.9972	0.66764	0.66752	1.0	12453	0	-1.9972
ADAMTS3	4	0.0011214	0.0040615	0.703193	103	4	-1.0623	0.99888	0.99886	1.0	19055	0	-1.0623
AMBRA1	4	0.0011311	0.00409	0.703193	104	2	-1.0835	0.79054	0.79045	1.0	14869	0	-1.0835
ATF5	4	0.0011659	0.0042151	0.704441	105	2	-0.70472	0.24576	0.34771	1.0	6265	1	-0.70472
EMC6	4	0.0011738	0.0042426	0.704441	106	2	-0.49668	0.6668	0.66667	1.0	12439	0	-0.49668
HSPB1	4	0.0011738	0.0042426	0.704441	107	2	-0.38688	0.11881	0.19977	0.995938	3728	1	-0.38688
TRPM7	2	0.0011873	0.0023162	0.617101	108	1	-0.68527	0.031047	0.056658	0.7577	1694	1	-0.68527
FNTB	2	0.0011873	0.0023162	0.617101	109	1	-1.631	0.70814	0.70785	1.0	13237	0	-1.631
MAGEA8	4	0.0012032	0.0043489	0.704441	110	4	-1.1359	0.9988	0.99878	1.0	19054	0	-1.1359
C2orf61	4	0.0012381	0.0044688	0.704441	111	2	-0.65587	0.39709	0.44192	1.0	8201	1	-0.65587
C15orf59	4	0.0012453	0.0044864	0.704441	112	4	-1.1072	0.99875	0.99874	1.0	19053	0	-1.1072
THBS4	4	0.001246	0.004488	0.704441	113	3	-1.5286	0.63641	0.63625	1.0	11775	1	-1.5286
ACER3	4	0.0012538	0.0045139	0.704441	114	3	-1.0001	0.98536	0.98535	1.0	18770	0	-1.0001
MDGA2	4	0.0012766	0.0045959	0.704441	115	3	-1.5227	0.78662	0.78652	1.0	14781	0	-1.5227
OPRL1	4	0.001286	0.0046275	0.704441	116	3	-1.5232	0.88813	0.8881	1.0	16723	0	-1.5232
PMF1-BGLAP	3	0.0012975	0.0036786	0.69949	117	3	-2.0176	0.99634	0.99642	1.0	18996	0	-2.0176
CCDC127	4	0.0013035	0.0046836	0.704441	118	4	-1.5556	0.99653	0.99657	1.0	19001	0	-1.5556
FAM105A	4	0.0013279	0.0047671	0.704441	119	4	-1.1907	0.99867	0.99864	1.0	19052	0	-1.1907
NLRP11	4	0.0013324	0.0047795	0.704441	120	4	-0.97129	0.99867	0.99863	1.0	19051	0	-0.97129
DARS2	4	0.0013338	0.0047847	0.704441	121	1	-0.20599	0.089981	0.16158	0.937614	3185	2	-0.20599
FARP1	4	0.0013338	0.0047847	0.704441	122	3	-1.078	0.31626	0.38965	1.0	7157	1	-1.078
TBCC	2	0.0013413	0.0026037	0.617101	123	2	-2.4554	0.99866	0.99865	1.0	19050	0	-2.4554
RPS6	2	0.0013473	0.0026192	0.617101	124	1	-1.1473	0.26662	0.2732	1.0	6526	1	-1.1473
MAP2K1	4	0.0013635	0.0048885	0.704441	125	3	-1.5591	0.33046	0.39841	1.0	7323	1	-1.5591
SLC2A11	4	0.0013696	0.0049035	0.704441	126	3	-1.6659	0.90607	0.90609	1.0	17097	0	-1.6659
GALC	4	0.0013771	0.0049316	0.704441	127	3	-1.5793	0.36736	0.42209	1.0	7813	1	-1.5793
ORC5	3	0.0013805	0.0038965	0.700266	128	2	-0.46143	0.92502	0.92511	1.0	17519	0	-0.46143
CHIC1	4	0.0013897	0.0049741	0.704441	129	3	-1.5994	0.94409	0.94419	1.0	17879	0	-1.5994
ADAMTS16	4	0.001397	0.0050026	0.704441	130	4	-0.9305	0.9986	0.99857	1.0	19049	0	-0.9305
GAST	4	0.0014137	0.0050618	0.704441	131	2	-0.94487	0.79317	0.7931	1.0	14917	0	-0.94487
ANOS1	4	0.0014177	0.0050763	0.704441	132	4	-1.8362	0.99406	0.9941	1.0	18950	0	-1.8362
BPI	4	0.0014231	0.0050939	0.704441	133	4	-1.5016	0.99585	0.99583	1.0	18990	0	-1.5016
RPA1	3	0.0014382	0.0040439	0.703193	134	2	-2.0768	0.35152	0.37169	1.0	7622	1	-2.0768
PABPC1L2A	4	0.0014425	0.0051614	0.704486	135	3	-1.7593	0.017156	0.044491	0.698688	1131	1	-1.7593
TSPAN18	4	0.0014527	0.0051904	0.704486	136	3	-1.4816	0.98675	0.98669	1.0	18791	0	-1.4816
HIST1H3G	4	0.0014732	0.005261	0.704486	137	4	-0.94469	0.99853	0.9985	1.0	19048	0	-0.94469
ITGA3	4	0.0014899	0.0053124	0.704486	138	4	-1.0886	0.99851	0.99848	1.0	19047	0	-1.0886
EIF2AK3	4	0.0015088	0.005385	0.704486	139	4	-0.97026	0.99849	0.99846	1.0	19046	0	-0.97026
DIMT1	4	0.0015156	0.0054135	0.704486	140	3	-1.5747	0.97916	0.9793	1.0	18627	0	-1.5747
NOA1	4	0.0015204	0.0054338	0.704486	141	1	1.7525	0.00027163	0.0010062	0.243076	72	3	1.7525
GTPBP6	4	0.0015204	0.0054338	0.704486	142	2	-0.64287	0.4387	0.47078	1.0	8669	1	-0.64287
CTCF	3	0.0015205	0.0042965	0.704441	143	2	-0.6027	0.23706	0.28487	1.0	6192	1	-0.6027
GPKOW	4	0.001522	0.0054413	0.704486	144	2	-0.72589	0.69201	0.69187	1.0	12920	0	-0.72589
RAET1G	4	0.0015465	0.0055183	0.704486	145	4	-1.1805	0.99845	0.99843	1.0	19045	0	-1.1805
PRR20C	4	0.0015685	0.0055967	0.704486	146	2	-1.2215	0.97082	0.97091	1.0	18445	0	-1.2215
NUP210	4	0.0015838	0.0056511	0.704486	147	2	-1.2355	0.18822	0.29075	1.0	5305	1	-1.2355
PPIP5K2	4	0.0015843	0.0056532	0.704486	148	4	-0.93363	0.99842	0.9984	1.0	19044	0	-0.93363
OSER1	4	0.0016004	0.0057129	0.704486	149	3	-1.5825	0.97589	0.97608	1.0	18557	0	-1.5825
WNT2B	4	0.0016004	0.0057129	0.704486	150	4	-1.6597	0.99785	0.99785	1.0	19031	0	-1.6597
