id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
HSP90B1	3	1.9974e-08	2.5913e-07	0.002475	1	3	-1.0881	1.0	1.0	1.0	19104	0	-1.0881
EXT1	4	2.0304e-08	2.5913e-07	0.002475	2	4	-0.78149	1.0	1.0	1.0	19103	0	-0.78149
SIK3	4	1.4789e-07	7.774e-07	0.00495	3	4	-0.90927	1.0	1.0	1.0	19102	0	-0.90927
Non-Targeting-Control	997	3.3734e-07	2.8505e-06	0.009076	4	388	-0.031931	0.070191	0.20358	1.0	2945	280	-0.031931
SDC1	4	4.2007e-07	2.3322e-06	0.008911	5	3	-0.59861	0.97381	0.97394	1.0	18565	0	-0.59861
C9orf41	4	5.3e-07	2.3322e-06	0.008911	6	4	-0.7304	1.0	1.0	1.0	19101	0	-0.7304
ACTL8	4	2.7781e-06	9.588e-06	0.026167	7	4	-0.5756	1.0	1.0	1.0	19100	0	-0.5756
ZNF384	4	5.142e-06	1.9435e-05	0.042354	8	4	-0.71735	0.99772	0.99773	1.0	19046	0	-0.71735
AIP	4	5.2888e-06	1.9953e-05	0.042354	9	3	-0.79605	0.89341	0.89335	1.0	16921	0	-0.79605
TRAF3	4	6.9672e-06	2.7209e-05	0.05198	10	4	-0.57636	0.99984	0.99984	1.0	19098	0	-0.57636
OTUD4	4	1.1608e-05	4.5867e-05	0.079658	11	3	-0.79052	0.89421	0.89415	1.0	16938	0	-0.79052
STRADA	4	2.4111e-05	9.7694e-05	0.152704	12	4	-0.55034	0.99763	0.99763	1.0	19042	0	-0.55034
NEU1	4	2.6278e-05	0.00010391	0.152704	13	3	-0.3372	0.03283	0.082918	0.992602	1579	1	-0.3372
ZNF619	4	3.0375e-05	0.00011791	0.160891	14	2	-0.32384	0.91952	0.91961	1.0	17454	0	-0.32384
ANKZF1	4	3.3497e-05	0.00012827	0.163366	15	4	-0.65331	0.99149	0.99153	1.0	18921	0	-0.65331
BIRC2	4	7.4548e-05	0.00029826	0.354397	16	3	-0.50303	0.92133	0.92146	1.0	17487	0	-0.50303
KLC3	4	7.8833e-05	0.00031537	0.354397	17	2	-0.039456	0.084407	0.18549	1.0	3398	2	-0.039456
PIP4K2C	4	0.0001301	0.00051386	0.512624	18	2	-0.66132	0.91185	0.91183	1.0	17283	0	-0.66132
CLYBL	4	0.00013139	0.00052008	0.512624	19	2	-0.18101	0.073387	0.16436	1.0	3049	2	-0.18101
STT3A	4	0.00013451	0.00053667	0.512624	20	4	-0.70341	0.99946	0.99947	1.0	19088	0	-0.70341
BEND3	4	0.00015113	0.0005973	0.542079	21	4	-0.57516	0.99985	0.99986	1.0	19099	0	-0.57516
ADAMTS17	4	0.00015929	0.00062425	0.542079	22	2	-0.21186	0.6924	0.70231	1.0	13139	1	-0.21186
PRB4	4	0.00018394	0.00070096	0.581064	23	2	-0.14913	0.59783	0.6354	1.0	11832	1	-0.14913
RUNX1	4	0.00019358	0.00072998	0.581064	24	4	-0.5469	0.99949	0.99949	1.0	19090	0	-0.5469
SYCE3	4	0.00020574	0.00077922	0.583003	25	3	-0.38579	0.21785	0.34281	1.0	6312	1	-0.38579
LIX1	4	0.0002131	0.00080461	0.583003	26	3	-0.55921	0.12508	0.23859	1.0	4384	1	-0.55921
SMIM23	4	0.00023128	0.00087199	0.583003	27	2	-0.14655	0.18833	0.30973	1.0	5667	2	-0.14655
TEX261	4	0.00023649	0.00088494	0.583003	28	1	0.34016	0.011308	0.036063	0.902956	756	2	0.34016
LRCH1	4	0.00024109	0.00090101	0.583003	29	4	-0.46309	0.99911	0.9991	1.0	19078	0	-0.46309
KCTD13	4	0.00024607	0.00091552	0.583003	30	3	-0.76409	0.83439	0.83438	1.0	15764	0	-0.76409
TCEAL1	4	0.00025926	0.00096683	0.595816	31	3	-0.58426	0.80124	0.8012	1.0	15096	0	-0.58426
FAM159B	4	0.00026995	0.0010016	0.597927	32	4	-0.41164	0.99973	0.99973	1.0	19097	0	-0.41164
EXOC6	4	0.00027987	0.0010383	0.600371	33	3	-0.54602	0.75384	0.75454	1.0	14191	1	-0.54602
GPR180	4	0.00028903	0.00107	0.600371	34	3	-0.41052	0.042939	0.10389	0.9991	1957	1	-0.41052
SOX21	4	0.00031767	0.0011757	0.600371	35	2	-0.34971	0.085538	0.18766	1.0	3454	1	-0.34971
CYP4F8	4	0.0003216	0.0011871	0.600371	36	3	-0.39597	0.91714	0.9172	1.0	17397	0	-0.39597
BIN2	4	0.00033214	0.0012254	0.600371	37	4	-1.0331	0.99967	0.99967	1.0	19096	0	-1.0331
ACOT2	4	0.00033381	0.0012291	0.600371	38	3	-0.43764	0.36706	0.50865	1.0	9372	1	-0.43764
SIK2	4	0.00033984	0.0012514	0.600371	39	4	-0.46795	0.99966	0.99966	1.0	19095	0	-0.46795
NCOA6	4	0.00034158	0.0012571	0.600371	40	1	0.022636	0.57143	0.61864	1.0	11516	1	0.022636
TPPP	4	0.00035987	0.0013161	0.612093	41	3	-0.44914	0.71404	0.71951	1.0	13495	1	-0.44914
LCE1D	4	0.00036594	0.0013457	0.612093	42	4	-0.81851	0.99568	0.99566	1.0	19006	0	-0.81851
PARD3	4	0.0003841	0.0014099	0.619032	43	3	-0.4964	0.98353	0.98352	1.0	18748	0	-0.4964
FLJ44635	4	0.00039412	0.0014483	0.619032	44	2	-0.11575	0.24938	0.37785	1.0	6948	2	-0.11575
FAM127C	4	0.00039814	0.0014581	0.619032	45	3	-0.72734	0.76051	0.76073	1.0	14301	1	-0.72734
CD69	4	0.00040857	0.0014991	0.622579	46	4	-0.38207	0.99959	0.99959	1.0	19094	0	-0.38207
PRR12	4	0.00044427	0.001625	0.652758	47	4	-0.4048	0.99956	0.99956	1.0	19093	0	-0.4048
NFKB2	4	0.00044803	0.0016427	0.652758	48	2	-0.3331	0.81201	0.81195	1.0	15320	0	-0.3331
GNB4	4	0.00045479	0.0016743	0.652758	49	4	-0.4205	0.99553	0.99552	1.0	19001	0	-0.4205
SLC9B2	4	0.00047851	0.0017587	0.669482	50	4	-0.34481	0.99952	0.99952	1.0	19092	0	-0.34481
MAPK8	4	0.00048707	0.0017872	0.669482	51	4	-0.48388	0.99951	0.99951	1.0	19091	0	-0.48388
CIR1	4	0.00052246	0.0019158	0.674359	52	4	-0.6281	0.99948	0.99948	1.0	19089	0	-0.6281
PRX	4	0.00052365	0.0019199	0.674359	53	3	-0.74826	0.7687	0.76862	1.0	14455	1	-0.74826
C12orf66	4	0.00053881	0.0019707	0.674359	54	4	-0.40981	0.99946	0.99947	1.0	19087	0	-0.40981
AMOT	4	0.00055173	0.0020168	0.674359	55	1	0.11732	0.15878	0.27663	1.0	5090	2	0.11732
IFNG	4	0.00055327	0.0020215	0.674359	56	4	-0.33096	0.99945	0.99946	1.0	19086	0	-0.33096
KBTBD8	4	0.00055421	0.0020246	0.674359	57	4	-0.76583	0.99945	0.99945	1.0	19085	0	-0.76583
ZNF561	4	0.0005682	0.0020941	0.674359	58	3	-0.61537	0.95945	0.95948	1.0	18269	0	-0.61537
GJA3	4	0.00057763	0.0021241	0.674359	59	3	-0.40861	0.91835	0.91839	1.0	17421	0	-0.40861
ERLIN1	4	0.00060246	0.0022024	0.674359	60	3	-0.59862	0.35942	0.5001	1.0	9205	1	-0.59862
MST1	4	0.00060427	0.0022076	0.674359	61	1	-0.089983	0.18279	0.3035	1.0	5565	1	-0.089983
KCNV2	4	0.00061822	0.002262	0.674359	62	3	-0.40772	0.96783	0.9679	1.0	18437	0	-0.40772
CCDC88C	4	0.00063201	0.0023086	0.674359	63	3	-0.54427	0.97111	0.97122	1.0	18504	0	-0.54427
SYPL2	4	0.00063246	0.0023102	0.674359	64	4	-0.55262	0.99937	0.99938	1.0	19084	0	-0.55262
EBF2	4	0.0006354	0.0023205	0.674359	65	4	-0.71758	0.99936	0.99938	1.0	19083	0	-0.71758
